Table name,State,District,Area Name,Last residence,"Last residence","Place of enumeration",Total migrants-Persons,Total migrants-Males,Total migrants-Females,Duration (<1 year)-Persons,Duration (<1 year)-Males,Duration (<1 year)-Females,Duration (1-4 years)-Persons,Duration (1-4 years)-Males,Duration (1-4 years)-Females,Duration(5-9 years)-Persons,Duration (5-9 years)-Males,Duration (5-9 years)-Females,Duration (10-19 years)-Persons,Duration (10-19 years)-Males,Duration (10-19 years)-Females,Duration(20+ years)-Persons,Duration (20+) Males,Duration (20+ years)-Females,Duration (not stated)-Persons,Duration (not stated)-Males,Duration (not stated)-Females
D0302,0,0,INDIA,Total,Total,Total,455787621,146145967,309641654,17586044,7805017,9781027,63893251,21283776,42609475,60428975,18425569,42003406,94713188,25979400,68733788,146421501,35148111,111273390,72744662,37504094,35240568
D0302,0,0,INDIA,Total,Total,Rural,278203361,64703974,213499387,9786106,3916525,5869581,34944291,8139533,26804758,34511589,6876803,27634786,57728193,9894435,47833758,98989422,14186384,84803038,42243760,21690294,20553466
D0302,0,0,INDIA,Total,Total,Urban,177584260,81441993,96142267,7799938,3888492,3911446,28948960,13144243,15804717,25917386,11548766,14368620,36984995,16084965,20900030,47432079,20961727,26470352,30500902,15813800,14687102
D0302,0,0,INDIA,Last residence within India,Total,Total,449917418,143467652,306449766,17366706,7676760,9689946,63340666,21044225,42296441,59953065,18239698,41713367,93880994,25665354,68215640,143269910,33680536,109589374,72106077,37161079,34944998
D0302,0,0,INDIA,Last residence within India,Total,Rural,275416210,63588085,211828125,9685689,3856920,5828769,34716308,8063533,26652775,34294890,6816901,27477989,57311368,9778290,47533078,97476022,13554521,83921501,41931933,21517920,20414013
D0302,0,0,INDIA,Last residence within India,Total,Urban,174501208,79879567,94621641,7681017,3819840,3861177,28624358,12980692,15643666,25658175,11422797,14235378,36569626,15887064,20682562,45793888,20126015,25667873,30174144,15643159,14530985
D0302,0,0,INDIA,Last residence within India,Rural,Total,291960709,72214492,219746217,10755902,4494758,6261144,41628067,11999353,29628714,41151931,10683830,30468101,68370418,15878227,52492191,111704816,21796759,89908057,18349575,7361565,10988010
D0302,0,0,INDIA,Last residence within India,Rural,Rural,213759232,36841723,176917509,7193436,2674514,4518922,27984566,5706476,22278090,28434336,4914365,23519971,49302557,7398481,41904076,87340066,11074343,76265723,13504271,5073544,8430727
D0302,0,0,INDIA,Last residence within India,Rural,Urban,78201477,35372769,42828708,3562466,1820244,1742222,13643501,6292877,7350624,12717595,5769465,6948130,19067861,8479746,10588115,24364750,10722416,13642334,4845304,2288021,2557283
D0302,0,0,INDIA,Last residence within India,Urban,Total,105075338,45334257,59741081,5736082,2824291,2911791,18996803,8208373,10788430,16345025,6829337,9515688,22033072,8825061,13208011,25694559,10368346,15326213,16269797,8278849,7990948
D0302,0,0,INDIA,Last residence within India,Urban,Rural,26975221,10137722,16837499,1969216,995426,973790,5125474,2004236,3121238,4382466,1597554,2784912,5847634,1974769,3872865,6132014,1783846,4348168,3518417,1781891,1736526
D0302,0,0,INDIA,Last residence within India,Urban,Urban,78100117,35196535,42903582,3766866,1828865,1938001,13871329,6204137,7667192,11962559,5231783,6730776,16185438,6850292,9335146,19562545,8584500,10978045,12751380,6496958,6254422
D0302,0,0,INDIA,Within the state of enumeration but outside the place of enumeration,Total,Total,395652669,119597840,276054829,13835094,5701934,8133160,53350789,16338739,37012050,51532648,14494662,37037986,81896135,20648063,61248072,127059360,27189381,99869979,67978643,35225061,32753582
D0302,0,0,INDIA,Within the state of enumeration but outside the place of enumeration,Total,Rural,259520960,59154750,200366210,8266794,3054841,5211953,32169693,7190535,24979158,32125714,6238831,25886883,53985156,9047874,44937282,92241912,12605713,79636199,40731691,21016956,19714735
D0302,0,0,INDIA,Within the state of enumeration but outside the place of enumeration,Total,Urban,136131709,60443090,75688619,5568300,2647093,2921207,21181096,9148204,12032892,19406934,8255831,11151103,27910979,11600189,16310790,34817448,14583668,20233780,27246952,14208105,13038847
D0302,0,0,INDIA,Within the state of enumeration but outside the place of enumeration,Rural,Total,260325223,58461657,201863566,8664938,3299374,5365564,36102217,9357033,26745184,36201690,8469196,27732494,60912850,12755865,48156985,101504799,17852035,83652764,16938729,6728154,10210575
D0302,0,0,INDIA,Within the state of enumeration but outside the place of enumeration,Rural,Rural,201739806,33853422,167886384,6171584,2114200,4057384,26149389,5117868,21031521,26801573,4517549,22284024,46682522,6877272,39805250,82982460,10347090,72635370,12952278,4879443,8072835
D0302,0,0,INDIA,Within the state of enumeration but outside the place of enumeration,Rural,Urban,58585417,24608235,33977182,2493354,1185174,1308180,9952828,4239165,5713663,9400117,3951647,5448470,14230328,5878593,8351735,18522339,7504945,11017394,3986451,1848711,2137740
D0302,0,0,INDIA,Within the state of enumeration but outside the place of enumeration,Urban,Total,85378046,36555762,48822284,4443546,2124925,2318621,14906643,6316213,8590430,13180906,5432235,7748671,17892150,7087320,10804830,20277762,8055545,12222217,14677039,7539524,7137515
D0302,0,0,INDIA,Within the state of enumeration but outside the place of enumeration,Urban,Rural,24085918,9041973,15043945,1631516,783632,847884,4520980,1752818,2768162,3931516,1438273,2493243,5255991,1790043,3465948,5446755,1596438,3850317,3299160,1680769,1618391
D0302,0,0,INDIA,Within the state of enumeration but outside the place of enumeration,Urban,Urban,61292128,27513789,33778339,2812030,1341293,1470737,10385663,4563395,5822268,9249390,3993962,5255428,12636159,5297277,7338882,14831007,6459107,8371900,11377879,5858755,5519124
D0302,0,0,INDIA,Elsewhere in the district of enumeration,Total,Total,277513908,82948766,194565142,8697846,3465174,5232672,34411695,9857660,24554035,33990553,8899840,25090713,55269063,12939052,42330011,88256581,17155269,71101312,56888170,30631771,26256399
D0302,0,0,INDIA,Elsewhere in the district of enumeration,Total,Rural,199718156,47826911,151891245,5758220,2070210,3688010,23625842,5257476,18368366,23927248,4672199,19255049,40508645,6870863,33637782,69851150,9598380,60252770,36047051,19357783,16689268
D0302,0,0,INDIA,Elsewhere in the district of enumeration,Total,Urban,77795752,35121855,42673897,2939626,1394964,1544662,10785853,4600184,6185669,10063305,4227641,5835664,14760418,6068189,8692229,18405431,7556889,10848542,20841119,11273988,9567131
D0302,0,0,INDIA,Elsewhere in the district of enumeration,Rural,Total,187120594,39612206,147508388,5763237,2097015,3666222,25115486,6100815,19014671,25514620,5551644,19962976,43539240,8486589,35052651,73980156,11910405,62069751,13207855,5465738,7742117
D0302,0,0,INDIA,Elsewhere in the district of enumeration,Rural,Rural,153920992,26311302,127609690,4369823,1452269,2917554,19601248,3842316,15758932,20274685,3446984,16827701,35479649,5308282,30171367,63454127,7964237,55489890,10741460,4297214,6444246
D0302,0,0,INDIA,Elsewhere in the district of enumeration,Rural,Urban,33199602,13300904,19898698,1393414,644746,748668,5514238,2258499,3255739,5239935,2104660,3135275,8059591,3178307,4881284,10526029,3946168,6579861,2466395,1168524,1297871
D0302,0,0,INDIA,Elsewhere in the district of enumeration,Urban,Total,47795519,21438873,26356646,2422540,1174043,1248497,7665865,3307704,4358161,6961819,2942717,4019102,9518235,3891016,5627219,10428330,4320411,6107919,10798730,5802982,4995748
D0302,0,0,INDIA,Elsewhere in the district of enumeration,Urban,Rural,15967786,6384525,9583261,1037379,497420,539959,2886969,1166843,1720126,2584474,1001201,1583273,3446488,1256106,2190382,3413286,1080782,2332504,2599190,1382173,1217017
D0302,0,0,INDIA,Elsewhere in the district of enumeration,Urban,Urban,31827733,15054348,16773385,1385161,676623,708538,4778896,2140861,2638035,4377345,1941516,2435829,6071747,2634910,3436837,7015044,3239629,3775415,8199540,4420809,3778731
D0302,0,0,INDIA,In other districts of the state of enumeration,Total,Total,118138761,36649074,81489687,5137248,2236760,2900488,18939094,6481079,12458015,17542095,5594822,11947273,26627072,7709011,18918061,38802779,10034112,28768667,11090473,4593290,6497183
